team,abbr,color
Georgia Tech,GTECH,#B3A369
Georgia State,GS,#0039A6
Purdue,PURD,#CFB991
Clemson,CLEM,#F56600
Georgia,UGA,#BA0C2F
Tennessee,TENN,#FF8200
Louisville,LOU,#C9001F
Kentucky,UK,#0033A0
Indiana,IND,#990000
Cincinnati,CIN,#E00122
Ohio State,OHST,#CE0F3D
Air Force,AF,#0033A0
Akron,AKRN,#041E42
Alabama A&M,ALAM,#660000
Alabama State,ALST,#C99700
Appalachian State,APP,#FFCC00
Arizona,ARIZ,#C10230
Arizona State,AZST,#FFC627
Arkansas,ARK,#9D2235
Arkansas-Pine Bluff,UAPB,#EEB310
Arkansas State,ARST,#CC092F
Ball State,BALL,#BA0C2F
Baylor,BAY,#FFB81C
Boise State,BOISE,#0033A0
Bowling Green,BG,#FE5000
BYU,BYU,#FFFFFF
Buffalo,BUF,#005BBB
Central Michigan,CMICH,#FFC82E
Charlotte,CHAR,#005035
Colorado,COL,#CFB87C
Colorado State,CSU,#006A4D
Duke,DUKE,#013088
Eastern Michigan,EMU,#046A38
Fresno State,FRSNO,#CC0033
Georgia Southern,GAS,#87714D
Grambling State,GRAM,#ECAA00
Howard,HOW,#688197
Illinois,ILL,#E84A27
Iowa,IOWA,#FCD116
Iowa State,IAST,#822433
Kansas,KU,#0051BA
Kansas State,KST,#512888
Kent State,KENT,#EFAB00
Liberty,LIB,#990000
Louisiana Tech,LTECH,#CB333B
Marshall,MRSHL,#00B140
Maryland,MARY,#E21833
Miami (Ohio),MIAO,#B61E2E
Michigan,MICH,#FFCB05
Ole Miss,MISS,#CE1126
Michigan State,MIST,#18453B
Middle Tennessee,MTSU,#0066CC
Minnesota,MINN,#862334
Mississippi State,MSST,#5D1725
Missouri,MIZZ,#F1B82D
Nebraska,NEB,#E41C38
Nevada,NEV,#003366
UNLV,UNLV,#CF0A2C
New Mexico,UNM,#BA0C2F
New Mexico State,NMST,#891216
North Carolina,UNC,#7BAFD4
North Carolina A&T,NCAT,#FDB927
North Carolina Central,NCC,#862633
NC State,NCST,#CC0000
North Texas,NTEX,#00853E
Northern Illinois,NILL,#BA0C2F
Northwestern,NW,#4E2A84
Notre Dame,ND,#C99700
Ohio,OHIO,#00694E
Oklahoma,OK,#841617
Oklahoma State,OKST,#FE5C00
Oregon,ORE,#036936
Oregon State,ORST,#D73F09
Penn State,PSU,#FFFFFF
Pittsburgh,PITT,#FFB81C
Prairie View A&M,PVAM,#4F2582
San Diego State,SDSU,#C41230
San José State,SJSU,#FFB81A
SMU,SMU,#CC0035
South Carolina,SCAR,#73000A
South Carolina State,SCST,#841A2B
Southern Miss,SMISS,#FFD046
Stanford,STAN,#8C1515
Syracuse,SYR,#D44500
Texas,TEX,#BF5700
Texas A&M,TXAM,#500000
TCU,TCU,#4D1979
Texas State,TXST,#8D734A
Texas Tech,TTECH,#CC0000
Toledo,TOL,#FFD200
Troy,TROY,#6D0017
Tulsa,TULSA,#F5002E
Tennessee State,TSU,#00539F
UAB,UAB,#1E6B52
UCLA,UCLA,#2D68C4
USC,USC,#9D2235
Utah,UTAH,#CC0000
Utah State,UTST,#00263A
UTEP,UTEP,#FF8200
UTSA,UTSA,#002244
Vanderbilt,VAND,#CEB888
Virginia,UVA,#F84C1E
Virginia Tech,VT,#861F41
Wake Forest,WAKE,#CEB888
Washington,WASH,#E8D3A2
Washington State,WSU,#981E32
West Virginia,WVU,#EAAA00
Western Kentucky,WKU,#B01E24
Western Michigan,WMU,#B5A167
Wisconsin,WIS,#C4012F
Wyoming,WYO,#FFC425
